shot_ID,tag,val,val_str
69,is_off_dodge,1,NULL
69,is_right_handed,1,NULL
69,shot_quality,2,NULL
69,clean_save,1,NULL
70,def_scheme,NULL,zone
70,is_transition,1,NULL
70,is_off_dodge,0,NULL
70,is_right_handed,1,NULL
70,shot_quality,2,NULL
70,field_loc_x,0.415532,NULL
70,field_loc_y,0.344063,NULL
70,goal_loc_x,0.470624,NULL
70,goal_loc_y,0.844063,NULL
71,field_loc_x,0.640248,NULL
71,field_loc_y,0.459062,NULL
71,goal_loc_x,0.592825,NULL
71,goal_loc_y,0.674062,NULL
71,def_scheme,NULL,man
71,is_transition,0,NULL
71,is_off_dodge,0,NULL
71,is_right_handed,1,NULL
71,shot_quality,3,NULL
71,clean_save,1,NULL
72,field_loc_x,0.609881,NULL
72,field_loc_y,0.434063,NULL
72,def_scheme,NULL,zone
72,is_transition,1,NULL
72,is_off_dodge,0,NULL
72,is_right_handed,0,NULL
72,shot_quality,2,NULL
72,goal_loc_x,0.45596,NULL
72,goal_loc_y,0.709063,NULL
73,field_loc_x,0.497523,NULL
73,field_loc_y,0.394062,NULL
73,goal_loc_x,0.675921,NULL
73,goal_loc_y,0.284063,NULL
73,def_scheme,NULL,man
73,is_transition,0,NULL
73,is_off_dodge,1,NULL
73,is_right_handed,0,NULL
73,shot_quality,2,NULL
73,clean_save,1,NULL
74,field_loc_x,0.451972,NULL
74,field_loc_y,0.694062,NULL
74,goal_loc_x,0.705249,NULL
74,goal_loc_y,0.424062,NULL
74,def_scheme,NULL,man
74,is_transition,0,NULL
74,is_off_dodge,1,NULL
74,is_right_handed,1,NULL
74,shot_quality,1,NULL
74,clean_save,1,NULL
75,field_loc_x,0.436789,NULL
75,field_loc_y,0.299062,NULL
75,goal_loc_x,0.148015,NULL
75,goal_loc_y,0.539062,NULL
75,def_scheme,NULL,man
75,is_transition,0,NULL
75,is_off_dodge,1,NULL
75,is_right_handed,0,NULL
75,shot_quality,3,NULL
76,field_loc_x,0.573441,NULL
76,field_loc_y,0.429062,NULL
76,goal_loc_x,0.148015,NULL
76,goal_loc_y,0.514063,NULL
76,def_scheme,NULL,man
76,is_transition,0,NULL
76,is_off_dodge,0,NULL
76,is_right_handed,1,NULL
76,shot_quality,2,NULL
77,field_loc_x,0.491449,NULL
77,field_loc_y,0.674062,NULL
77,goal_loc_x,0.680809,NULL
77,goal_loc_y,0.669062,NULL
77,def_scheme,NULL,zone
77,is_transition,1,NULL
77,is_off_dodge,0,NULL
77,is_right_handed,1,NULL
77,shot_quality,1,NULL
77,clean_save,0,NULL
78,field_loc_x,0.388201,NULL
78,field_loc_y,0.424062,NULL
78,goal_loc_x,0.827449,NULL
78,goal_loc_y,0.169062,NULL
78,def_scheme,NULL,man
78,is_transition,0,NULL
78,is_off_dodge,1,NULL
78,is_right_handed,0,NULL
78,shot_quality,3,NULL
79,field_loc_x,0.379091,NULL
79,field_loc_y,0.514063,NULL
79,goal_loc_x,0.910546,NULL
79,goal_loc_y,0.254063,NULL
79,def_scheme,NULL,man
79,is_transition,0,NULL
79,is_off_dodge,1,NULL
79,is_right_handed,0,NULL
79,shot_quality,3,NULL
80,field_loc_x,0.376054,NULL
80,field_loc_y,0.559062,NULL
80,goal_loc_x,0.0991351,NULL
80,goal_loc_y,0.879062,NULL
80,def_scheme,NULL,man
80,is_transition,0,NULL
80,is_off_dodge,1,NULL
80,is_right_handed,1,NULL
80,shot_quality,3,NULL
81,field_loc_x,0.488413,NULL
81,field_loc_y,0.379063,NULL
81,goal_loc_x,0.52928,NULL
81,goal_loc_y,0.719063,NULL
81,def_scheme,NULL,man
81,is_transition,0,NULL
81,is_off_dodge,1,NULL
81,is_right_handed,1,NULL
81,shot_quality,2,NULL
82,field_loc_x,0.55522,NULL
82,field_loc_y,0.389062,NULL
82,goal_loc_x,0.143127,NULL
82,goal_loc_y,0.194063,NULL
82,def_scheme,NULL,man
82,is_transition,0,NULL
82,is_off_dodge,1,NULL
82,is_right_handed,1,NULL
82,shot_quality,3,NULL
83,field_loc_x,0.485376,NULL
83,field_loc_y,0.314063,NULL
83,goal_loc_x,0.534168,NULL
83,goal_loc_y,0.874062,NULL
83,def_scheme,NULL,man
83,is_transition,0,NULL
83,is_off_dodge,1,NULL
83,is_right_handed,1,NULL
83,shot_quality,3,NULL
84,field_loc_x,0.594698,NULL
84,field_loc_y,0.604062,NULL
84,goal_loc_x,0.152903,NULL
84,goal_loc_y,0.449062,NULL
84,def_scheme,NULL,man
84,is_transition,0,NULL
84,is_off_dodge,1,NULL
84,is_right_handed,1,NULL
84,shot_quality,2,NULL
85,field_loc_x,0.385164,NULL
85,field_loc_y,0.329062,NULL
85,goal_loc_x,0.837225,NULL
85,goal_loc_y,0.579063,NULL
85,def_scheme,NULL,man
85,is_transition,0,NULL
85,is_off_dodge,1,NULL
85,is_right_handed,1,NULL
85,shot_quality,3,NULL
86,field_loc_x,0.634199,NULL
86,field_loc_y,0.486562,NULL
86,goal_loc_x,0.12854,NULL
86,goal_loc_y,0.151562,NULL
